position,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,environment_distance,fit_score,key_distance_from_previous,key_camelot
1,81418,6sOC569sksrnsrpSIihTtn,tanishk bagchi;zahrah s khan;dj aqeel,Aafat (Remix By DJ Aqeel) [brah],"aafat (from ""liger"") - remix by dj aqeel",45,189790,False,0.738,0.892,11,-5.366,0,0.0538,0.00114,0.0648,0.0586,0.683,127.974,4,pop,0.05364,0.94636,,10A
2,81100,0WtM2NBVQNNJLh6scP13H8,rema;selena gomez,Calm Down (with Selena Gomez),calm down (with selena gomez),92,239317,False,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,4,pop,0.051466200000000004,0.9485338,0.0,1B
3,81858,5CSEaABQkS1hoLza0IpK2r,amar arshi;badshah;neha kakkar;indeep bakshi;prem & hardeep,Baar Baar Dekho (Original Motion Picture Soundtrack),kala chashma,69,187006,False,0.801,0.856,0,-4.233,1,0.065,0.0984,6.62e-05,0.228,0.919,106.026,4,pop,0.06338676000000003,0.93661324,1.0,8B
4,56975,7fXYFuCTmNrYRGwEUUf5iz,david hugo,Die Right Here,die right here,62,127620,False,0.784,0.818,1,-4.137,1,0.0949,0.0733,0.0,0.0871,0.712,130.01,4,indie-pop,0.054780000000000016,0.94522,1.0,3B
5,81955,0zRsGGueSQLRkYWs4kPA4V,harrdy sandhu,Naah,naah,63,190000,False,0.715,0.863,2,-2.539,0,0.063,0.62,6.32e-05,0.0972,0.828,99.981,4,pop,0.06554736000000001,0.93445264,1.0,7A
6,56679,43pulC9QdGwabXUtVHYnjY,maisie peters,Not Another Rockstar,not another rockstar,73,149053,True,0.658,0.815,3,-2.141,0,0.14,0.214,1.24e-06,0.126,0.818,91.041,4,indie-pop,0.07879975200000001,0.921200248,1.0,2A
7,81369,0X7g825ekNNiCWWV7queDr,kaka,Mitti De Tibbe,mitti de tibbe,67,273251,False,0.849,0.853,6,-3.4,0,0.159,0.355,0.0,0.0896,0.794,129.966,4,pop,0.05508,0.94492,3.0,11A
8,81775,5x72Q1SyiDHJ4IF2mRzfkg,neha kakkar;tanishk bagchi,"Gali Gali (From ""Kgf Chapter 1"")","gali gali (from ""kgf chapter 1"")",66,174711,False,0.789,0.95,5,-3.604,0,0.0759,0.191,1.41e-05,0.0969,0.746,126.013,4,pop,0.03861717999999999,0.96138282,1.0,4A
9,82107,1yKu2MhpwzDXXH2tzG6xoa,weezer,Make Believe,beverly hills,71,196093,False,0.693,0.823,5,-3.761,1,0.0726,0.0932,0.0,0.328,0.741,87.904,4,power-pop,0.07920000000000003,0.9208,0.0,7B
10,82149,46kiOFsTdGjcuLyebQParY,nick lowe,Quiet Please: The New Best of Nick Lowe,i knew the bride (when she used to rock and roll),35,266280,False,0.63,0.865,4,-9.081,1,0.034,0.386,1.15e-05,0.333,0.964,147.36,4,power-pop,0.1253977,0.8746023,1.0,12B
