position,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,environment_distance,fit_score,key_distance_from_previous,key_camelot
1,76678,7sqWXHDZ4lNBNZB1JUxlrl,josé carreras,Recital de Canciones,aquellos ojos verdes,20,224266,False,0.276,0.227,3,-14.881,1,0.0438,0.991,0.343,0.131,0.128,113.819,4,opera,0.09459999999999999,0.9054,,5B
2,76441,6N2QRUQhIVqE9deWQxCniK,georges bizet;pierre dervaux;orchestre du theatre national de iopera-comique,Bizet: Les Pecheurs de perles,"bizet: les pêcheurs de perles, act 1: ""au fond du temple saint"" (nadir, zurga)",23,326253,False,0.194,0.178,3,-18.063,1,0.0392,0.983,0.00766,0.113,0.234,88.178,5,opera,0.14186800000000002,0.858132,0.0,5B
3,76367,2Qy39OykZmDRTuaDefAZwA,collabro,Road to the Royal Albert Hall,on my own,23,183853,False,0.275,0.204,3,-12.757,1,0.0342,0.796,0.0,0.156,0.234,92.727,1,opera,0.14220000000000002,0.8578,0.0,5B
4,79615,6mwVh9GJeesKKE0OJWHrMt,mauvais roger,Approaching Haumea,approaching haumea,48,171688,False,0.258,0.125,3,-24.067,1,0.0341,0.985,0.92,0.112,0.407,146.305,3,piano,0.11640000000000002,0.8835999999999999,0.0,5B
5,76165,5bgLPudbccjdEHjlcQb0yj,andré rieu,Dreaming,lullaby,27,145866,False,0.183,0.235,3,-14.98,1,0.0384,0.722,0.511,0.102,0.0822,69.653,4,opera,0.07855999999999999,0.92144,0.0,5B
6,79410,5q3d5I3rMvfKAuyDvmBwwe,pontiver bogross,Frühlingsbach,frühlingsbach,50,171084,False,0.348,0.238,3,-21.222,1,0.0436,0.989,0.899,0.108,0.247,127.367,4,piano,0.13119999999999998,0.8688,0.0,5B
7,76499,2saWRznFopO8grenhrZ0b8,giuseppe verdi;riccardo muti;new philharmonia orchestra,Verdi: Aida,"verdi: aida, act 1: nume custode e vindice (ramfis, radamès, sacerdoti, sacerdotesse, sacerdotessa)",23,257800,False,0.244,0.205,3,-15.596,1,0.0367,0.984,0.329,0.0788,0.075,71.37,4,opera,0.09363999999999999,0.90636,0.0,5B
8,79704,7iv6u8KM5GVTt01WbDLQAO,f.b. piano anime,Yuri on Ice (Yuri!!! on Ice Original Soundtrack),yuri on ice (yuri!!! on ice original soundtrack),34,235998,False,0.253,0.239,3,-16.741,1,0.0306,0.95,0.908,0.125,0.0599,77.321,4,piano,0.15502,0.8449800000000001,0.0,5B
9,76226,58MMmaxuTVTh3wsmVeHtdS,celtic thunder;keith harkin,Mythology,tears of hercules,26,270720,False,0.336,0.217,3,-8.227,1,0.0341,0.82,0.0,0.157,0.289,96.019,4,opera,0.14620000000000002,0.8538,0.0,5B
10,76384,4OtKIvUJ1yOqfKIdbbNXJy,georges bizet;luciano pavarotti;nicolai ghiaurov;national philharmonic orchestra;robin stapleton,Spirito Italiano,"les pêcheurs de perles, wd 13 / act 1: ""au fond du temple saint""",24,396573,False,0.171,0.178,3,-19.876,1,0.0471,0.981,0.0466,0.0848,0.0938,86.543,3,opera,0.16316,0.83684,0.0,5B
