Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,cluster
36750,0fROT4kK5oTm8xO8PX6EJF,rilès,!I'll Be Back!,!i'll be back!,52,178533,True,0.823,0.612,1,-7.767,1,0.248,0.168,0.0,0.109,0.688,142.959,4,french,1
92751,1hH0t381PIXmUVWyG1Vj3p,brian hyland,The Bashful Blond,"""a"" you're adorable",39,151680,False,0.615,0.375,0,-10.362,0,0.0319,0.482,0.0,0.111,0.922,110.72,4,rockabilly,1
66970,1B45DvGMoFWdbAEUH2qliG,little apple band,The Favorite Songs Of Sesame Street,"""c"" is for cookie",32,84305,False,0.553,0.812,3,-5.542,1,0.0558,0.132,9.92e-06,0.0794,0.871,118.368,4,kids,1
101161,0jmz4aHEIBCRgrcV2xEkwB,traditional;sistine chapel choir;massimo palombella,Classical Christmas,"""christe, redemptor omnium""",0,289133,False,0.111,0.0568,10,-28.053,1,0.0551,0.99,0.697,0.11,0.0395,169.401,1,sleep,0
82584,5Zx0Rrkn5RFBMD2PRxX3mI,dillinger four,C I V I L W A R,"""contemplate this on the tree of woe.""",24,180706,False,0.565,0.977,11,-3.592,1,0.0546,0.0282,0.00132,0.433,0.387,106.478,4,power-pop,2
5980,3ozivYJGJGq6TSzdy8m64X,capcom sound team,デビル メイ クライ 3 オリジナル・サウンドトラック,"""devils never cry""(スタッフロール)",55,319906,False,0.264,0.951,7,-7.356,1,0.146,0.000894,0.0442,0.127,0.159,149.99,4,anime,2
93397,3KKk48f33mlB56F5L5nbJk,nikolay kopylov,Popular Opera Arias,"""don carlos"" roderigo's death aria",0,235547,False,0.167,0.332,1,-9.888,1,0.0359,0.992,0.191,0.113,0.0527,62.97,4,romance,0
93895,5OiONTndVC5YOMXg6VC5xs,nikolay kopylov,Popular Opera Arias,"""eugene onegin"" ariozo of onegin",0,111800,False,0.443,0.514,10,-8.068,1,0.0924,0.988,0.00187,0.0918,0.244,100.752,4,romance,0
79999,4gHZlq1u5m89HP96BT3QHk,dave brubeck,A Dave Brubeck Christmas,"""farewell"" jingle bells",29,179400,False,0.444,0.00402,2,-35.904,0,0.075,0.996,0.908,0.0599,0.0385,90.026,0,piano,0
39347,6ZZU6LPjm5ueOsWHb6X5cA,hans zimmer;lisa gerrard;klaus badelt;tamara teirbrood,Hans Zimmer: Epic Scores,"""gladiator"" - music from the motion picture: now we are free",16,313080,False,0.208,0.347,9,-16.183,1,0.067,0.658,0.128,0.964,0.0794,121.408,4,german,0
16385,4yfFraZrNnh2zJTok5fzq7,felix mendelssohn;christopher herrick;simon preston;the choir of westminster abbey,Klassische Weihnachtsmusik,"""hark! the herald angels sing""",0,141000,False,0.158,0.21,7,-16.398,1,0.033,0.953,0.86,0.153,0.193,80.984,4,classical,0
98336,5ezuHIXXlsPQY4rbsSKT1W,laura osnes,Rodgers + Hammerstein's Cinderella (Original Broadway Cast Recording),"""he was tall""",27,90706,False,0.334,0.255,2,-12.12,1,0.0531,0.895,0.0,0.125,0.123,78.2,4,show-tunes,0
98295,0VXg0YYguSikxQCZSELGdX,laura osnes;victoria clark,Rodgers + Hammerstein's Cinderella (Original Broadway Cast Recording),"""in my own little corner"" - reprise",27,219586,False,0.6,0.288,5,-12.116,0,0.206,0.91,0.0,0.0748,0.449,112.123,3,show-tunes,0
11536,14Qcrx6Dfjvcj0H8oV8oUW,london symphony orchestra,The London Symphony Orchestra: The Top 100 of Classical Music,"""in the hall of the mountain king"" from peer gynt suite n°1, op. 46",51,150826,False,0.475,0.13,7,-17.719,1,0.051,0.916,0.956,0.101,0.122,112.241,4,british,0
100949,6KNGqIRhE44Cf56dvcgi1l,inspector,Ska a La Carta,"""lamba do ska"" (llorando se fue)",34,228400,False,0.601,0.858,0,-2.968,1,0.0311,0.000117,0.144,0.0469,0.925,142.154,4,ska,1
98229,280zqg7gblMTRU1Hc5VxpY,santino fontana;laura osnes,Rodgers + Hammerstein's Cinderella (Original Broadway Cast Recording),"""loneliness of evening""",29,113400,False,0.389,0.373,3,-6.627,1,0.0317,0.907,0.00041,0.334,0.272,93.327,4,show-tunes,0
129,6XrNrp7UtGgyZcHJ0ckL0w,rachael yamagata,Something In the Rain (Music from the Original TV Series),"""something in the rain"" (something in the rain, pt. 1) [music from the original tv series]",49,296862,False,0.422,0.272,4,-10.772,0,0.0353,0.496,1.07e-05,0.0704,0.113,143.413,4,acoustic,0
111315,1Ffxfl1vuEDc0xBVPIQ50s,kid koala,"""Was He Slow?"" (Music From The Motion Picture Baby Driver)","""was he slow?"" - music from the motion picture baby driver",37,106880,False,0.754,0.719,10,-5.806,0,0.371,0.373,0.259,0.12,0.674,175.99,4,trip-hop,1
54135,2CHVei9HrUiiXFvnQzvXoc,arai tasuku,Alice,"""why is a raven like a writing desk?""",14,166000,False,0.395,0.803,0,-6.743,1,0.103,0.000423,0.718,0.113,0.2,179.782,4,idm,2
8724,7KJQr1jn8YO2zXMejSSwxS,slank,Virus,# 1,37,281887,False,0.386,0.414,7,-7.771,1,0.029,0.00182,0.0021,0.111,0.18,126.22,3,blues,2
4788,35NyjYJFaJxqbUF2y0jWl1,aphex twin,Selected Ambient Works Volume II,#1,48,447800,False,0.619,0.0327,10,-20.273,0,0.0371,0.995,0.712,0.0865,0.0785,102.884,4,ambient,0
4152,2Bc4llhjJBW77I552RgA3L,aphex twin,Selected Ambient Works Volume II,#3,64,464293,False,0.167,0.071,6,-27.108,0,0.041,0.911,0.855,0.107,0.0613,143.315,5,ambient,0
49289,5oIxZbtO8ctpXy8MTflBIf,imperial;jovana k,Harder Stylez: We Love The Bass,#coldblooded,0,157500,True,0.586,0.963,7,-1.941,1,0.0925,0.0283,0.0,0.409,0.308,100.003,4,hardstyle,2
49294,5uotAmqGJfrxEfANdTcBQ2,imperial;irradiate,Harder Stylez: We Love The Bass,#daredevil,0,212400,True,0.607,0.877,1,-3.409,1,0.061,0.0903,0.0,0.368,0.162,99.987,4,hardstyle,2
85565,1F2oJSb3FVLG6onX8U9rMX,endank soekamti;cjr,KOLABORASOE,#eeeaa,38,264200,False,0.715,0.799,2,-5.386,1,0.0529,2.75e-05,0.0,0.236,0.676,95.004,4,punk-rock,1
32103,6HMk2bFT4VkIWwIAmDCqHj,poshlaya molly;hofmannita,#HABIBATI,#habibati,61,153005,True,0.717,0.799,1,-6.937,0,0.0465,0.00163,0.0,0.352,0.682,114.974,4,electronic,1
33136,2z6W6oeZvBaO56Mg587v0w,xxxtentacion,LOOK AT ME: THE ALBUM,#imsippinteainyohood,68,173320,True,0.668,0.873,9,-4.556,1,0.215,0.0967,0.000275,0.239,0.455,146.006,4,emo,1
3788,7iyR2H3GRhBUrAxLJOhN0B,curren$y,New Rap Icons,#jetsgo,0,192320,True,0.502,0.812,2,-6.591,0,0.263,0.376,0.0,0.49,0.436,83.407,4,alternative,2
67919,1a17Gt5Vh0HTKFCZr8Pctk,paty cantú;juhn,Del gusto de hermanos,#natural,0,226605,False,0.791,0.841,0,-3.267,0,0.0471,0.0913,0.0,0.0913,0.828,97.037,4,latin,1
33814,5dkZ2DrcPJrqwlRQe6Q35e,xxxtentacion;rico nasty,#PROUDCATOWNERREMIX,#proudcatownerremix,55,157293,True,0.783,0.522,1,-6.229,1,0.39,0.0287,4.13e-05,0.127,0.235,145.127,4,emo,1
61045,7axpJkZcb36Wgjy0SxuEai,≠me,チョコレートメランコリー<Special Edition>,#おふしょるにっと,33,280693,False,0.516,0.842,8,-1.772,1,0.0309,0.459,0.0,0.206,0.818,83.933,4,j-idol,1
61734,18H7btexD6h0VbYvP0gkIS,kamiyado,#前に進む唄,#前に進む唄,19,229035,False,0.314,0.93,8,-1.781,1,0.0555,0.0383,4.25e-05,0.0911,0.509,88.756,4,j-idol,2
33216,65u1dHQyQyE4y4aN2eDmMF,xxxtentacion;matt ox,?,$$$ - with matt ox,63,130403,True,0.774,0.507,1,-6.952,0,0.065,0.0636,0.0,0.138,0.508,140.067,4,emo,1
38164,3koAwrM1RO0TGMeQJ3qt9J,good morning,Prize//Reward,$10,64,89508,False,0.624,0.596,4,-9.804,1,0.0314,0.475,0.203,0.119,0.896,120.969,4,garage,1
105359,57cmZWqFcUjDxLCO7ShN2m,jimmy lite hands,Angel Delight,$100,36,259366,False,0.718,0.193,7,-10.486,1,0.12,0.562,0.935,0.107,0.908,86.995,4,study,0
111367,6931KFlt8FNv1v4Us6Cbo2,david holmes,Ocean's Eleven (Music from the Motion Picture),$160 million chinese man,38,250000,False,0.449,0.888,9,-8.977,1,0.1,0.0272,0.84,0.615,0.741,114.15,4,trip-hop,2
111492,6Uo43ckbm48SIryTtKLCk8,david holmes,Ocean's Twelve (Music from the Motion Picture),$165 million + interest (intro) the round up,35,343093,False,0.286,0.729,9,-9.036,0,0.0566,0.0122,0.924,0.101,0.536,171.93,4,trip-hop,2
19876,5IfdDiOJitysgex3qEL0bn,bleu edmondson,Southland,$50 dollars and a flask of crown,43,205826,False,0.748,0.695,4,-7.755,1,0.0358,0.215,0.000264,0.246,0.876,114.927,4,country,1
18006,1TkWsnheqK0gBtvh07BtNX,lil dicky;fetty wap;rich homie quan,Professional Rapper,$ave dat money (feat. fetty wap & rich homie quan),64,290835,True,0.858,0.697,2,-5.361,1,0.23,0.114,0.0,0.224,0.364,98.013,4,comedy,1
17342,2gvkj2LCOBF9Ysi52KVzYl,kyle edwards;dj smallz 732,$ave Dat Money (Jersey Club),$ave dat money (jersey club),20,124917,True,0.935,0.689,0,-7.993,0,0.285,0.00907,1.35e-05,0.0785,0.808,139.913,4,club,1
66602,0IyPydcIE9gQAQDj8Ylze6,pj panda,Raised on Hip Hop,$ave money,10,137379,False,0.838,0.846,0,-1.953,0,0.0552,0.133,0.0,0.323,0.499,144.965,4,kids,1
24559,3gBgGepe66qMYnA7wtpqf0,jay daniel,Broken Knowz,$hake it down,6,349493,False,0.849,0.786,8,-10.842,0,0.0809,0.0023,0.882,0.0883,0.448,122.763,4,detroit-techno,1
15476,3UAcFSrt3b8pVbJ0Z1YGSE,vluestar,$tars and I feel alone,$tars and i feel alone,59,132858,False,0.567,0.214,0,-18.41,1,0.444,0.86,8.69e-05,0.12,0.56,86.251,4,chill,1
92631,7ucgcKHb0r9orpwBeqF0MV,the brian setzer orchestra,Vavoom,'49 mercury blues,26,170800,False,0.437,0.947,4,-4.537,0,0.149,0.024,1.59e-05,0.0887,0.74,184.249,4,rockabilly,1
62864,2MAVcVr2oylw2OZ3hojWYj,the connells,Ring,'74-'75,67,278973,False,0.53,0.59,11,-9.169,1,0.025,0.183,0.00227,0.0675,0.43,144.202,4,j-pop,2
17540,5wXyMkBT8qNpAwAsYC2nLW,the magnetic fields,50 Song Memoir,'74: no,21,176426,False,0.275,0.439,0,-8.169,1,0.0281,0.895,0.0824,0.166,0.406,150.66,4,club,0
46724,3SVvuOYDMKs9VifJPtk7X3,forze dj team,Thunderdome Die Hard,'98 to piano,17,366968,True,0.741,0.91,5,-7.419,0,0.0547,0.0666,0.408,0.159,0.556,149.869,4,happy,1
34508,5mPQOKM56h6IzG3oxK2C1a,when chai met toast,'Hop Stomp','hop stomp',36,166000,False,0.679,0.761,4,-6.574,1,0.0328,0.495,0.000281,0.148,0.778,120.039,4,folk,1
52485,3HhEScV90AFQ3HoNcXsJjb,hank williams,The Complete Hank Williams,'neath a cold gray tomb of stone,13,161226,False,0.591,0.373,0,-10.395,1,0.0303,0.979,0.000951,0.359,0.637,133.907,4,honky-tonk,0
76150,6ua4ZcCoSABREsczFvGLI6,luciano pavarotti;bryan adams,Pavarotti & Friends 2,'o sole mio - live,47,191506,False,0.297,0.264,8,-12.537,1,0.0387,0.943,1.4e-05,0.7,0.247,62.074,4,opera,0
76807,2smlnh2fkWnQktREMcW6hh,mario del monaco,I grandi tenori,'o sole mio,20,206053,False,0.229,0.262,7,-13.82,1,0.0364,0.927,0.0492,0.145,0.186,90.623,4,opera,0
76760,2zGKXiqO0irUZWBL1OJFUy,luciano pavarotti;the corrs,Pavarotti & Friends For The Children Of Liberia,'o surdato 'nnamorato,19,221026,False,0.4,0.689,10,-7.089,1,0.0618,0.781,4.49e-06,0.973,0.418,122.28,4,opera,2
45890,1qUdmikV7AoqFaOBPQg3ck,baden powell,Three Originals: Tristeza on Guitar / Poema on Guitar / Apaixonado,'round midnight,22,332613,False,0.392,0.0859,3,-20.668,0,0.0436,0.966,0.87,0.104,0.134,93.584,4,guitar,0
79935,1wl5b2lw3YagQtZiYZbQWP,thelonious monk,"Genius Of Modern Music (Vol.1, Expanded Edition)",'round midnight,54,193840,False,0.542,0.32,8,-9.975,1,0.0387,0.907,0.649,0.0609,0.206,116.648,4,piano,0
41827,2jbADSsjJm5LZtXNXsXxqJ,revamp,Wild Card,'the anatomy of a nervous breakdown': on the sideline,20,225864,False,0.495,0.905,7,-5.766,0,0.07,5.71e-05,0.00496,0.0502,0.411,147.139,3,goth,2
26778,6PvkgNl39geFWiBMzEeWjM,nathan lane;matthew broderick;the producers ensemble,The Producers (Original Broadway Cast Recording),'til him,20,222146,False,0.306,0.205,5,-15.206,1,0.0486,0.933,6.39e-06,0.762,0.266,82.138,3,disney,0
7541,6lllsKsshDQK9dAl6pdqTj,old & in the way,Breakdown,'til the end of the world rolls 'round,23,134800,False,0.692,0.386,0,-15.345,1,0.0743,0.615,0.00635,0.916,0.823,121.937,4,bluegrass,1
19077,02HqnDssYA62iGapkpJIkJ,cody johnson,Country Car Hits,'til you can't,1,224213,False,0.501,0.815,1,-4.865,1,0.0436,0.0513,0.0,0.106,0.46,160.087,4,country,2
75364,6BXbJwdT4v6k4QdOUagTFF,jim brickman,Faith (Deluxe Edition),'tis so sweet,23,223373,False,0.351,0.172,7,-17.708,1,0.0455,0.962,0.825,0.112,0.259,96.732,4,new-age,0
64105,13SCCInc8juRiBgAH2309G,louis armstrong;the commanders,World's Best Christmas Playlist,"'zat you, santa claus? - single version",1,169092,False,0.683,0.514,5,-9.168,0,0.252,0.325,0.0,0.161,0.654,122.097,4,jazz,1
70949,2WZL4uQs6kOF0gpiSfyD2e,吳青峰;jasmine sokko,馬拉美的星期二,(......侏儒之舞)(feat. jasmine sokko),39,212989,False,0.574,0.684,0,-7.302,1,0.0506,0.0137,0.0,0.0922,0.357,115.965,4,mandopop,2
70697,4ViXbUw52jlRpAlttrUeJ5,吳青峰;maîtrise saint-marc - les choristes,馬拉美的星期二,(......催眠大師)(feat. maîtrise saint-marc - les choristes),42,164232,False,0.529,0.737,7,-4.956,1,0.0661,0.57,0.0,0.0602,0.234,135.932,4,mandopop,2
70745,0JgHby2Eln2x593egfKV1B,吳青峰;佐藤芳明,馬拉美的星期二,(......千與千尋)(feat. 佐藤芳明),40,172282,False,0.272,0.409,2,-10.497,1,0.0308,0.624,1.89e-05,0.131,0.193,158.955,3,mandopop,0
70548,5U7jIV7kh5iHKgUgslSgKB,吳青峰;微光古樂集,馬拉美的星期二,(......小小牧羊人)(feat. 微光古樂集),42,228916,False,0.606,0.31,3,-11.111,1,0.0289,0.936,0.000213,0.281,0.22,140.293,4,mandopop,0
70694,2r4Qugm13w48DJ13jCUQgo,吳青峰;大橋三重唱,馬拉美的星期二,(......小王子)(feat. ohashitrio),45,288578,False,0.326,0.301,7,-10.435,1,0.0283,0.893,1.64e-06,0.0785,0.293,141.671,4,mandopop,0
70493,4vDZIF91LBQgm8vlolBsG1,吳青峰;林嘉欣,馬拉美的星期二,(......戀人絮語)(feat. 林嘉欣),41,224205,False,0.477,0.505,0,-10.135,1,0.0382,0.701,0.000389,0.138,0.251,135.854,4,mandopop,0
70895,1eqeDeOm0TsjS3j3vlSan2,吳青峰;lisa ono,馬拉美的星期二,(......棕髮少女)(feat. 小野麗莎),40,219925,False,0.534,0.592,0,-8.56,1,0.0352,0.0426,0.0385,0.0957,0.202,88.012,4,mandopop,2
70598,2jHB9QkwNR4LSnRWi7axKs,吳青峰;蜷川紅,馬拉美的星期二,(......海妖沙龍)(feat. 蜷川紅 of 和樂器樂團),42,204861,False,0.698,0.707,0,-5.745,1,0.0499,0.115,9.33e-06,0.252,0.479,101.93,4,mandopop,1
70797,6n6mfBaRbEDqXZltgsbyTq,吳青峰;yoed nir,馬拉美的星期二,(......當幽靈失靈)(feat. yoed nir),40,245632,False,0.456,0.447,10,-11.885,0,0.0316,0.497,0.00112,0.122,0.231,79.845,4,mandopop,0
70898,6No37VaxVh6HHEozjauEbk,吳青峰;dr. jean-loup ringot,馬拉美的星期二,(......老頑固博士)(feat. dr. jean-loup ringot),39,143929,False,0.676,0.434,4,-5.719,0,0.0391,0.566,0.000123,0.0526,0.567,140.094,4,mandopop,1
70845,0tSbBmOAukoqCsFfYYAI2A,吳青峰;stefanie sun,(......醉鬼阿Q),(......醉鬼阿q)(feat. 孫燕姿),43,216399,False,0.586,0.79,7,-6.834,1,0.0453,0.0254,0.000761,0.138,0.228,120.067,4,mandopop,2
24687,7fOAKC8n2VQ7x071BE02p7,random noise generation;octave one,Endustry,(age of) endustry - original mix,5,426477,False,0.672,0.794,6,-10.114,1,0.0586,3.19e-05,0.844,0.0958,0.636,126.974,4,detroit-techno,2
91931,21i2PhBdDKSlJ5gJZl2M7V,chicago,Holly Jolly Christmas,(because) it's christmastime,0,200026,False,0.711,0.742,11,-5.434,0,0.0294,0.172,0.000838,0.0502,0.73,100.053,4,rock,1
90493,05K9S4Tbxaj7mKiZyHtjFl,duane eddy;the rebelettes,Wiggle Wobble (50's & 60's Collection of Music),(dance with the) guitar man,1,160093,False,0.688,0.925,9,-6.69,1,0.0395,0.732,0.00131,0.136,0.932,137.193,4,rock-n-roll,1
8365,5QTxFnGygVM4jFQiBovmRo,blue öyster cult,Agents Of Fortune,(don't fear) the reaper,76,308120,False,0.333,0.927,9,-8.55,0,0.0733,0.0029,0.000208,0.297,0.385,141.466,4,blues,2
14923,5u5Ncdztgu1nEuEc6ds28c,the countdown kids,Happy Halloween! (Spooky Favorites for Kids),(don't fear) the reaper,0,304268,False,0.45,0.741,9,-8.903,0,0.0407,0.00797,6.22e-05,0.407,0.468,141.316,4,children,2
33165,39iczvfNkZstM8KY8dNDFC,salvia palth,melanchole,(dream),72,84741,False,0.328,0.301,0,-13.283,1,0.0366,0.926,0.825,0.118,0.167,147.398,4,emo,0
91459,1Eb90nmqTrxylKFhcUzW8P,bryan adams,Waking Up The Neighbours,(everything i do) i do it for you,76,393640,False,0.533,0.36,1,-12.633,1,0.0282,0.0805,1.03e-05,0.0631,0.299,131.229,4,rock,2
92919,3RVKeAie8vdadw5r1PPBx5,jody reynolds,Endless Sleep,(evil hearted me) downright evil,23,154466,False,0.593,0.865,4,-10.227,1,0.0378,0.719,2.29e-05,0.303,0.969,157.96,4,rockabilly,1
22204,1NYlPHjmopAthEDeIGfJo3,emmure,Hindsight,(f)inally (u)nderstanding (n)othing,55,172394,True,0.519,0.898,6,-7.055,1,0.0758,0.000141,0.0433,0.378,0.196,106.543,4,death-metal,2
64885,3fERkaogWUgD0bEcbqs40u,donald byrd,Fiesta temática 70s,(fallin' like) dominoes - live,0,330426,False,0.557,0.759,11,-9.94,1,0.0498,0.178,0.0012,0.344,0.715,116.747,4,jazz,1
107604,41Laec0pItedzpw2D8HWYp,fiction factory,Throw The Warped Wheel Out,(feels like) heaven,60,213960,False,0.541,0.822,3,-10.978,1,0.049,0.214,0.00314,0.0521,0.719,116.659,4,synth-pop,1
107691,4ofJ85Y38hBMklLC8r9gaH,orchestral manoeuvres in the dark,Souvenir,(forever) live and die - remastered 2019,25,217013,False,0.605,0.841,0,-5.735,1,0.0285,0.0912,0.317,0.288,0.73,90.191,4,synth-pop,1
107742,2tnFEAdkIW4L8LW58XfAI6,orchestral manoeuvres in the dark,The OMD Singles,(forever) live and die,24,216093,False,0.604,0.703,0,-8.986,1,0.0293,0.112,0.289,0.264,0.829,90.166,4,synth-pop,1
90451,63Hb7XoQ8JzBiTr1nxp9pH,the ventures,Another Smash!!!,(ghost) riders in the sky,50,148493,False,0.577,0.619,0,-9.022,1,0.0323,0.697,0.445,0.318,0.537,126.242,4,rock-n-roll,0
11069,2PzU4IB8Dr6mxV3lHuaG34,the rolling stones,Out Of Our Heads,(i can't get no) satisfaction - mono version,77,222813,False,0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,4,british,1
88712,7ojJ4XvqBhBcteM0zjMebT,ub40,Promises And Lies,(i can't help) falling in love with you,70,207440,False,0.642,0.722,2,-13.031,1,0.0375,0.0444,0.00388,0.122,0.836,172.406,4,reggae,1
92680,1a9EyBydOYhE7SGSodUIjP,"clarence ""frogman"" henry","Ain't Got No Home: The Best Of Clarence ""Frogman"" Henry (Reissue)",(i don't know why) but i do,55,141200,False,0.662,0.535,10,-5.457,1,0.027,0.563,0.0,0.125,0.83,109.695,4,rockabilly,1
82484,3ETM2oz7x4tlBGcCCbMloH,elvis costello & the attractions,The Best Of The First 10 Years,(i don't want to go to) chelsea,24,190226,False,0.507,0.791,11,-7.111,0,0.0386,0.0691,0.00046,0.0482,0.959,166.972,4,power-pop,1
98817,1tJhtyuCmVV7XGe7CMrhQ8,lauren marcus,Never Really Done With You,(i got) the one that got away (back),20,231000,False,0.654,0.528,2,-6.003,1,0.0446,0.36,0.0,0.109,0.626,121.007,4,show-tunes,1
52091,7wknMXNNLVLq0qr5PkFEL8,hank williams;drifting cowboys,40 Greatest Hits,(i heard that) lonesome whistle - single version,21,148133,False,0.626,0.0966,2,-17.412,1,0.0327,0.915,7.26e-06,0.124,0.502,91.484,3,honky-tonk,0
920,6apacvSkVWWtCxc68FBsZV,carly lyman;jason lux,(I Just) Died In Your Arms [Acoustic],(i just) died in your arms - acoustic,47,211364,False,0.747,0.221,0,-10.528,0,0.0358,0.93,0.0,0.116,0.369,118.029,4,acoustic,0
107004,4ByEFOBuLXpCqvO1kw8Wdm,cutting crew,Broadcast,(i just) died in your arms,77,280400,False,0.625,0.726,11,-11.402,0,0.0444,0.0158,0.000169,0.0625,0.507,124.945,4,synth-pop,1
17947,6rG8dSIKzhfbtnGDsBX8kZ,the magnetic fields,Quickies,(i want to join a) biker gang,18,141120,False,0.587,0.852,7,-6.195,1,0.0508,0.69,0.46,0.329,0.487,118.265,4,club,2
25629,7LNP6YNYDeMgBeG4JBfAdq,sandra,Ten On One,(i'll never be) maria magdalena - single verison,64,239826,False,0.613,0.559,2,-14.127,1,0.0268,0.0992,0.0205,0.314,0.772,104.1,4,disco,1
34490,02IW65kQC100srRSE5poWs,the monkees,Maintain Your Mojo,(i'm not your) steppin' stone,0,144253,False,0.551,0.625,5,-6.375,1,0.0317,0.016,0.000253,0.118,0.367,131.319,4,folk,2
52383,2FH4XizQkifQTG9kPIts3L,hank williams,The Complete Hank Williams,(i'm) going home,13,85306,False,0.665,0.305,7,-9.927,1,0.0334,0.867,0.46,0.406,0.803,114.533,4,honky-tonk,0
17796,1wYDz3NuqlGxPnQDX8OuV6,glee cast,"Glee: The Music, Volume 4",(i've had) the time of my life,43,277560,False,0.459,0.77,9,-5.993,1,0.0472,0.0765,0.0,0.0879,0.168,110.706,4,club,2
100871,1bQSRBS1aGK1MoaYDfnaPH,broilers,LoFi,(ich bin) bei dir,33,194920,False,0.464,0.953,7,-3.179,1,0.0858,0.052,0.281,0.271,0.473,93.806,4,ska,2
24821,7mzumwy0CcCFqH1fIeXmja,surgeon,Basictonal Remake,(intro) version ii,7,292741,False,0.515,0.906,1,-8.746,1,0.0624,1.73e-05,0.95,0.134,0.23,134.242,3,detroit-techno,2
52971,2k3SWquzJQW8l9tSflpwZv,george jones,Mr. Country and Western,(just) a girl i used to know,10,158787,False,0.661,0.261,0,-11.876,1,0.0309,0.646,0.0,0.127,0.809,116.06,4,honky-tonk,1
82245,06MQns7Bz5uVJ1AIj2SgEc,hoodoo gurus,Stoneage Romeos,(let's all) turn on - remaster 2005,28,184746,False,0.417,0.941,4,-3.325,1,0.0555,0.000938,8.61e-05,0.485,0.414,114.952,4,power-pop,2
